seed,nVertex,arborescence,time
814,500,805,0.153
815,500,774,0.003
816,500,794,0.343
817,500,838,0.208
818,500,812,0.259
819,500,752,0.289
820,500,783,0.115
821,500,797,0.049
822,500,761,0.262
823,500,816,0.259
824,500,816,0.027
825,500,812,0.172
826,500,779,0.264
827,500,771,0.161
828,500,798,0.008
829,500,779,0.201
830,500,787,0.021
831,500,774,0.003
832,500,793,0.192
833,500,798,0.003
834,500,769,0.016
835,500,781,0.294
836,500,807,0.208
837,500,790,0.023
838,500,822,0.312
839,500,782,0.138
840,500,776,0.31
841,500,773,0.166
842,500,783,0.217
843,500,767,0.284
844,500,805,0.215
845,500,774,0.175
846,500,784,0.249
847,500,764,0.027
848,500,759,0.282
849,500,807,0.22
850,500,800,0.077
851,500,785,0.318
852,500,782,0.196
853,500,790,0.015
854,500,799,0.041
855,500,799,0.199
856,500,772,0.214
857,500,803,0.015
858,500,799,0.213
859,500,793,0.254
860,500,744,0.005
861,500,818,0.313
862,500,844,0.22
863,500,771,0.297
864,500,774,0.003
865,500,774,0.129
866,500,798,0.028
867,500,802,0.126
868,500,795,0.285
869,500,818,0.228
870,500,782,0.289
871,500,821,0.28
872,500,804,0.08
873,500,806,0.003
874,500,761,0.109
875,500,732,0.249
876,500,801,0.085
877,500,778,0.302
878,500,778,0.006
879,500,754,0.296
880,500,785,0.149
881,500,794,0
882,500,804,0.307
883,500,820,0.283
884,500,761,0.004
885,500,808,0.039
886,500,815,0.293
887,500,788,0.051
888,500,798,0.241
889,500,824,0.25
890,500,816,0.088
891,500,815,0.292
892,500,808,0.167
893,500,774,0.043
894,500,759,0.317
895,500,805,0.023
896,500,798,0.314
897,500,800,0.2
898,500,787,0.196
899,500,800,0.003
900,500,831,0.003
901,500,757,0.013
902,500,786,0.287
903,500,770,0.186
904,500,770,0.086
905,500,792,0.038
906,500,812,0.053
907,500,777,0.317
908,500,776,0.003
909,500,775,0.175
910,500,762,0.317
911,500,784,0.191
912,500,761,0.209
913,500,821,0.147
914,500,782,0.296
915,500,803,0.046
916,500,860,0.21
917,500,793,0.294
918,500,776,0.005
919,500,754,0.093
920,500,774,0.104
921,500,807,0.187
922,500,809,0.227
923,500,804,0.009
924,500,789,0.138
925,500,823,0.129
926,500,788,0.016
927,500,802,0.068
928,500,798,0.094
929,500,774,0.212
930,500,774,0.293
931,500,771,0.263
932,500,774,0.225
933,500,752,0.027
934,500,771,0.215
935,500,778,0.306
936,500,801,0.045
937,500,796,0.117
938,500,776,0.216
939,500,829,0.325
940,500,819,0.028
941,500,817,0.133
942,500,816,0.249
943,500,803,0.018
944,500,768,0.236
945,500,795,0.003
946,500,763,0.054
947,500,781,0.208
948,500,773,0.203
949,500,789,0.001
950,500,791,0.245
951,500,813,0.283
952,500,795,0.138
953,500,833,0.227
954,500,797,0.302
955,500,791,0.005
956,500,783,0.056
957,500,832,0.239
958,500,766,0.01
959,500,815,0.099
960,500,811,0.225
961,500,766,0.014
962,500,745,0.003
963,500,765,0.006
964,500,799,0.24
965,500,788,0.144
966,500,769,0.015
967,500,752,0.039
968,500,803,0.184
969,500,769,0.013
970,500,799,0.305
971,500,805,0.32
972,500,792,0.089
973,500,777,0.089
974,500,797,0.078
975,500,807,0.302
976,500,752,0.003
977,500,793,0.005
978,500,797,0.075
979,500,810,0.215
980,500,787,0.267
981,500,822,0.151
982,500,787,0.108
983,500,804,0.021
984,500,782,0.019
985,500,783,0.234
986,500,798,0.314
987,500,797,0.166
988,500,783,0.03
989,500,794,0.292
990,500,796,0.008
991,500,809,0.179
992,500,802,0.307
993,500,788,0.085
994,500,802,0.312
995,500,791,0.07
996,500,829,0.014
997,500,806,0.269
998,500,777,0.237
999,500,828,0.304
